ind,Pearson,PvalPearson,Spearman,PvalSpearman,pearson > 0.3,pearson < -0.3,spearman > 0.3,spearman < -0.3
7536,-0.004980123,0.7104909,-0.0070207,0.6007699,0,0,0,0
7537,0.005486181,0.6826007,0.0098581,0.4624671,0,0,0,0
7538,-0.292014016,0,-0.2957295,0,0,0,0,0
7539,-0.181339918,0,-0.13827,0,0,0,0,0
7540,-0.015472926,0.2487679,-0.0084462,0.5289907,0,0,0,0
7541,-0.039795001,0.0030042,-0.0346359,0.0098126,0,0,0,0
7542,-0.112213052,0,-0.1054875,0,0,0,0,0
7543,-0.234012426,0,-0.2250617,0,0,0,0,0
7544,-0.138734305,0,-0.1233283,0,0,0,0,0
7545,-0.278018377,0,-0.2295052,0,0,0,0,0
7546,0.024880218,0.0636334,0.0257704,0.0547168,0,0,0,0
7547,-0.0169757,0.2057356,-0.0172742,0.197875,0,0,0,0
7548,-0.092069585,0,-0.0942834,0,0,0,0,0
7549,-0.095112854,0,-0.0379386,0.0046726,0,0,0,0
7550,0.312706998,0,0.2873555,0,1,0,0,0
7551,-0.172127014,0,-0.1726355,0,0,0,0,0
7552,-0.073933214,0,-0.0446484,0.0008699,0,0,0,0
7553,0.087903711,0,0.0901424,0,0,0,0,0
7554,0.056666469,0.0000237,0.064456,0.0000015,0,0,0,0
7555,-0.066854224,0.0000006,-0.053937,0.0000574,0,0,0,0
7556,-0.043151373,0.0012918,-0.0267126,0.0464386,0,0,0,0
7557,-0.205675967,0,-0.1828951,0,0,0,0,0
7558,-0.019285088,0.1505612,-0.0206912,0.1229787,0,0,0,0
7559,-0.1434946,0,-0.1446789,0,0,0,0,0
7560,-0.089955425,0,-0.0755472,0,0,0,0,0
7561,0.377572257,0,0.3504529,0,1,0,1,0
7562,-0.109731019,0,-0.0943913,0,0,0,0,0
7563,-0.105353276,0,-0.0874376,0,0,0,0,0
7564,0.040252894,0.0026868,0.0511279,0.0001371,0,0,0,0
7565,-0.303845276,0,-0.2512078,0,0,1,0,0
7566,-0.192744307,0,-0.244267,0,0,0,0,0
7567,0.101006135,0,0.1309593,0,0,0,0,0
7568,0.000169678,0.9899095,-0.0007876,0.9531882,0,0,0,0
7569,-0.011018136,0.4114958,-0.0179384,0.1811725,0,0,0,0
7570,-0.003821077,0.7757929,0.0175238,0.1914707,0,0,0,0
7571,0.455747264,0,0.3849669,0,1,0,1,0
7572,-0.130006451,0,-0.0984112,0,0,0,0,0
7573,0.398385573,0,0.3376229,0,1,0,1,0
7574,-0.307011113,0,-0.3034615,0,0,1,0,1
7575,0.20976102,0,0.2183656,0,0,0,0,0
7576,-0.038704132,0.0039029,-0.0508219,0.0001504,0,0,0,0
7577,-0.06542582,0.0000011,-0.0538828,0.0000584,0,0,0,0
7578,-0.180992866,0,-0.1498405,0,0,0,0,0
7579,0.37641809,0,0.3172994,0,1,0,1,0
7580,0.382011187,0,0.3419515,0,1,0,1,0
7581,-0.162494324,0,-0.1350705,0,0,0,0,0
7582,0.044925007,0.0008076,0.0521611,0.0001,0,0,0,0
7583,-0.045612439,0.0006702,-0.0122527,0.3610904,0,0,0,0
7584,0.198162401,0,0.1979552,0,0,0,0,0
7585,-0.543755125,0,-0.4836159,0,0,1,0,1
7586,-0.102941773,0,-0.0867666,0,0,0,0,0
7587,-0.319726326,0,-0.2930091,0,0,1,0,0
7588,-0.447432605,0,-0.37225,0,0,1,0,1
7589,0.348243084,0,0.2957833,0,1,0,0,0
7590,-0.100865678,0,-0.0934076,0,0,0,0,0
7591,-0.006956296,0.6041127,-0.0085371,0.5245659,0,0,0,0
7592,0.126451873,0,0.1694675,0,0,0,0,0
7593,0.17975927,0,0.1800605,0,0,0,0,0
7594,0.04401668,0.0010293,0.0405875,0.0024745,0,0,0,0
7595,-0.072223532,0.0000001,-0.0576586,0.000017,0,0,0,0
7596,-0.051368973,0.0001275,-0.0340224,0.0111934,0,0,0,0
7597,-0.117923935,0,-0.0878755,0,0,0,0,0
7598,0.034773975,0.0095234,0.0547246,0.0000447,0,0,0,0
7599,0.181908547,0,0.1338442,0,0,0,0,0
7600,-0.230841343,0,-0.189911,0,0,0,0,0
7601,-0.081917499,0,-0.0751051,0,0,0,0,0
7602,0.299311345,0,0.2538427,0,0,0,0,0
7603,0.187315456,0,0.1353512,0,0,0,0,0
7604,-0.199571103,0,-0.1699913,0,0,0,0,0
7605,-0.111211388,0,-0.1058893,0,0,0,0,0
7606,0.006960082,0.6039159,0.0415384,0.0019522,0,0,0,0
7607,-0.062031943,0.0000037,-0.0713301,0.0000001,0,0,0,0
7608,-0.088340852,0,-0.0707405,0.0000001,0,0,0,0
7609,-0.223273036,0,-0.1930201,0,0,0,0,0
7610,-0.357149723,0,-0.3011035,0,0,1,0,1
7611,0.33521148,0,0.2792038,0,1,0,0,0
7612,0.017905459,0.1819764,0.0179803,0.1801561,0,0,0,0
7613,-0.012773921,0.341023,-0.0151315,0.2593647,0,0,0,0
7614,-0.177663561,0,-0.1319698,0,0,0,0,0
7615,0.148475063,0,0.1740464,0,0,0,0,0
7616,-0.005417558,0.6863584,-0.0033092,0.8051755,0,0,0,0
7617,0.00890323,0.5069352,0.0147019,0.2731356,0,0,0,0
7618,-0.414448601,0,-0.3496801,0,0,1,0,1
7619,0.084274496,0,0.1215248,0,0,0,0,0
7620,-0.294690711,0,-0.2854095,0,0,0,0,0
7621,-0.122605397,0,-0.0974599,0,0,0,0,0
7622,0.20381844,0,0.228085,0,0,0,0,0
7623,0.259115408,0,0.2020504,0,0,0,0,0
7624,0.407741451,0,0.3471376,0,1,0,1,0
7625,-0.21520072,0,-0.1816599,0,0,0,0,0
7626,-0.396836846,0,-0.3271972,0,0,1,0,1
7627,-0.222911183,0,-0.1604012,0,0,0,0,0
7628,-0.022767824,0.0896542,0.0124083,0.3550227,0,0,0,0
7629,-0.104282453,0,-0.087785,0,0,0,0,0
7630,0.253254526,0,0.2641141,0,0,0,0,0
7631,-0.285195471,0,-0.2885594,0,0,0,0,0
7632,-0.010407137,0.4379147,0.0237142,0.0770953,0,0,0,0
7633,0.109693279,0,0.1495651,0,0,0,0,0
7634,-0.098913163,0,-0.0809855,0,0,0,0,0
7635,-0.022523738,0.0931472,-0.0219526,0.1017472,0,0,0,0
7636,-0.132971001,0,-0.1004535,0,0,0,0,0
7637,0.188131665,0,0.1400131,0,0,0,0,0
7638,-0.283681097,0,-0.2877803,0,0,0,0,0
7639,-0.474031715,0,-0.3917096,0,0,1,0,1
7640,-0.072890292,0.0000001,-0.0581185,0.0000145,0,0,0,0
7641,0.239601372,0,0.2476403,0,0,0,0,0
7642,-0.084381301,0,-0.0700873,0.0000002,0,0,0,0
7643,-0.060529717,0.0000063,-0.0508159,0.0001506,0,0,0,0
7644,-0.04713118,0.0004399,-0.0362443,0.0068848,0,0,0,0
7645,-0.054774188,0.0000439,-0.0563568,0.0000262,0,0,0,0
7646,-0.0169757,0.2057356,-0.0172742,0.197875,0,0,0,0
7647,-0.115568193,0,-0.1048603,0,0,0,0,0
7648,-0.094494386,0,-0.0865922,0,0,0,0,0
7649,-0.061048592,0.0000053,-0.1040301,0,0,0,0,0
7650,-0.006016411,0.6538367,-0.0015682,0.9069487,0,0,0,0
7651,-0.066522757,0.0000007,-0.0550899,0.0000397,0,0,0,0
7652,0.047197155,0.0004319,0.0286269,0.0328303,0,0,0,0
7653,-0.099917133,0,-0.0895266,0,0,0,0,0
7654,0.011863195,0.3765575,0.0302599,0.0240739,0,0,0,0
7655,-0.060046817,0.0000075,-0.0550605,0.0000401,0,0,0,0
7656,0.029598358,0.0273418,0.0279763,0.0370125,0,0,0,0
7657,-0.071048117,0.0000001,-0.0537916,0.0000601,0,0,0,0
7658,0.102320875,0,0.0553438,0.0000366,0,0,0,0
7659,-0.193905577,0,-0.2384113,0,0,0,0,0
7660,0.012436751,0.3539204,0.0128817,0.3369646,0,0,0,0
7661,-0.140506701,0,-0.1216531,0,0,0,0,0
7662,0.180617707,0,0.2042232,0,0,0,0,0
7663,0.088964567,0,0.1271182,0,0,0,0,0
7664,0.022201141,0.0979304,0.0663899,0.0000007,0,0,0,0
7665,-0.16837791,0,-0.1496295,0,0,0,0,0
7666,-0.121743261,0,-0.0949898,0,0,0,0,0
7667,-0.295756834,0,-0.2454317,0,0,0,0,0
7668,-0.301718173,0,-0.3033869,0,0,1,0,1
7669,-0.113855685,0,-0.0884132,0,0,0,0,0
7670,0.379486449,0,0.3142816,0,1,0,1,0
7671,-0.100489657,0,-0.0456335,0.0006663,0,0,0,0
7672,-0.291003605,0,-0.2451109,0,0,0,0,0
7673,-0.310714596,0,-0.3068596,0,0,1,0,1
7674,-0.029439742,0.0281798,-0.0227134,0.0904235,0,0,0,0
7675,0.578311429,0,0.5566244,0,1,0,1,0
7676,0.356493796,0,0.3096587,0,1,0,1,0
7677,-0.053867356,0.0000587,-0.0183663,0.1709822,0,0,0,0
7678,-0.021177478,0.1144175,-0.0189283,0.158259,0,0,0,0
7679,-0.013609618,0.3103715,-0.0178464,0.1834232,0,0,0,0
7680,0.121254196,0,0.1706239,0,0,0,0,0
7681,0.278086984,0,0.2945817,0,0,0,0,0
7682,-0.144987733,0,-0.1288308,0,0,0,0,0
7683,0.466036243,0,0.4076732,0,1,0,1,0
7684,-0.104328662,0,-0.0934158,0,0,0,0,0
7685,-0.175241697,0,-0.1490866,0,0,0,0,0
7686,-0.129351888,0,-0.1150505,0,0,0,0,0
7687,0.179921562,0,0.1923648,0,0,0,0,0
7688,-0.464890027,0,-0.3837201,0,0,1,0,1
7689,-0.316416731,0,-0.3111155,0,0,1,0,1
7690,-0.030621234,0.0224365,-0.0274283,0.0408789,0,0,0,0
7691,-0.349780738,0,-0.3423423,0,0,1,0,1
7692,0.355064614,0,0.2977979,0,1,0,0,0
7693,-0.074739121,0,-0.0644744,0.0000015,0,0,0,0
7694,-0.199031066,0,-0.1932398,0,0,0,0,0
7695,-0.101841644,0,-0.0806575,0,0,0,0,0
7696,-0.195918397,0,-0.1748211,0,0,0,0,0
7697,-0.445453626,0,-0.3726186,0,0,1,0,1
7698,0.266082663,0,0.2021564,0,0,0,0,0
7699,-0.154891211,0,-0.1310841,0,0,0,0,0
7700,-0.031626259,0.0183806,-0.0357464,0.0076938,0,0,0,0
7701,0.001976413,0.8828853,0.0023265,0.8623298,0,0,0,0
7702,-0.035743562,0.0076987,-0.0995719,0,0,0,0,0
7703,-0.052700487,0.0000847,0.0816386,0,0,0,0,0
7704,0.261583016,0,0.2357378,0,0,0,0,0
7705,-0.053166125,0.0000732,-0.0402202,0.0027084,0,0,0,0
7706,0.174717606,0,0.1891573,0,0,0,0,0
7707,0.284239352,0,0.2347095,0,0,0,0,0
7708,-0.292467388,0,-0.289938,0,0,0,0,0
7709,0.185161873,0,0.219445,0,0,0,0,0
7710,-0.206985037,0,-0.1711592,0,0,0,0,0
7711,-6.60E-05,0.9960763,0.0139876,0.2971242,0,0,0,0
7712,0.20707675,0,0.1808897,0,0,0,0,0
7713,0.040906127,0.0022867,0.049027,0.0002557,0,0,0,0
7714,-0.01242411,0.3544098,-0.0182733,0.1731614,0,0,0,0
